Therapeutic,ComplexityScore,Category,TextDescription,MonetaryImpact
Meclizine,5,Neurological/Psych,"An antihistamine for motion sickness/vertigo. Minimal direct gene regulation.",180
Methyldopa,20,Cardiovascular,"A centrally acting α2-agonist lowering BP. Mild changes in CNS gene expression over chronic therapy.",160
Nitrofurantoin,15,Infectious,"An antibiotic mainly for UTIs. Minimal systemic gene-level impact.",250
Phenytoin,26,Neurological/Psych,"An anticonvulsant that modulates sodium channels. Moderate neuronal gene expression effects over prolonged use.",360
Procainamide,16,Cardiovascular,"A Class IA antiarrhythmic blocking sodium channels. Little direct gene regulation beyond conduction changes.",450
Ribavirin,33,Infectious,"A broad-spectrum antiviral that can boost interferon-stimulated genes. Moderate host gene involvement.",860
Sitagliptin,12,Diabetes,"A DPP-4 inhibitor that raises incretin levels. Mild gene-level changes in insulin secretion pathways.",1600
Sulfasalazine,30,Autoimmune,"Used for IBD/RA. Moderately suppresses inflammatory gene expression in gut or joints.",600
Terbinafine,9,Infectious,"An antifungal inhibiting squalene epoxidase. Minimal broader host gene involvement.",320
Theophylline,26,Respiratory,"A methylxanthine that increases cAMP. Modest gene expression changes in airway smooth muscle/inflammatory cells.",700
Timolol,24,Cardiovascular,"A nonselective β-blocker, often used in glaucoma. Mild gene changes in ocular or cardiac tissues.",320
Valacyclovir,9,Infectious,"Prodrug of acyclovir. Inhibits viral DNA polymerase with minimal host gene involvement.",780
Zidovudine (AZT),35,Infectious,"An NRTI for HIV. Moderate interplay with host immune cell gene expression over long-term therapy.",650
Zolpidem,10,Neurological/Psych,"A non-benzodiazepine hypnotic acting on GABA receptors. Minimal direct gene regulation, primarily receptor-level.",1900
Clozapine,40,Neurological/Psych,"An atypical antipsychotic with strong receptor cross-talk. Can cause some immune system shifts and gene expression changes.",1200
Alefacept (withdrawn),50,Autoimmune,"An immunosuppressive fusion protein that targeted T-cells, causing moderate gene expression changes in immune pathways.",220
Iloprost,18,Cardiovascular,"A prostacyclin analog for PAH. Mildly affects vascular remodeling gene expression.",280
Milrinone,8,Cardiovascular,"A PDE3 inhibitor improving cardiac contractility. Modest cAMP-related gene changes in heart failure.",110
Norethindrone,9,Hormonal,"A synthetic progestin in contraceptive formulations. Mild hormone-responsive gene regulation.",400
Tolterodine,12,Neurological/Psych (Urinary antimuscarinic),"Antimuscarinic for overactive bladder. Minimal direct gene effects but changes bladder smooth muscle signaling.",600
Travoprost,15,Eye (Glaucoma),"A prostaglandin analog reducing intraocular pressure. Mild ocular gene expression changes.",350
Ursodeoxycholic Acid,10,Gastrointestinal,"A bile acid therapy for certain cholestatic diseases. Minimal direct gene regulation mechanism.",290
Sevelamer,5,Renal,"A phosphate binder in CKD. Minimal direct gene involvement.",700
Nalmefene,17,Neurological/Psych,"An opioid receptor modulator for alcohol dependence. Minimal direct gene-level effect.",230
Moclobemide,20,Neurological/Psych,"A reversible MAO-A inhibitor for depression. Moderate neurotransmitter-related gene expression changes.",280
Midazolam,8,Anesthesia/Sedation,"A short-acting benzodiazepine. Primarily modulates GABA receptors, minimal direct gene regulation.",180
Moxifloxacin,19,Infectious,"A fluoroquinolone antibiotic blocking bacterial DNA gyrase. Minimal host gene involvement.",500
Orlistat,6,Metabolic (Weight loss),"A pancreatic lipase inhibitor for obesity management. Limited gene-level action, mostly enzymatic blockade.",700
Phenelzine,25,Neurological/Psych,"A nonselective MAO inhibitor affecting monoamine catabolism. Moderate neural gene changes over time.",180
Rasagiline,24,Neurological/Psych,"A selective MAO-B inhibitor in Parkinson’s disease. Mild dopaminergic gene expression changes.",300
Succinylcholine,5,Anesthesia/Sedation,"A depolarizing neuromuscular blocker used during intubation. Minimal gene involvement, rapid receptor-based action.",130
Varenicline,22,Neurological/Psych,"A partial nicotine agonist for smoking cessation. Modestly impacts dopaminergic gene networks in addiction pathways.",540
Pregabalin,27,Neurological/Psych,"An anticonvulsant/neuropathic pain agent binding α2δ subunit of calcium channels. Mild gene expression changes.",1600
Ranolazine,28,Cardiovascular,"An antianginal inhibiting the late Na+ current. Moderately affects cardiac metabolic gene pathways.",1300
Anastrozole,30,Cancer,"An aromatase inhibitor lowering estrogen levels. Moderate hormonal gene regulation in breast tissue.",1700
Bicalutamide,33,Cancer,"A nonsteroidal anti-androgen. Alters transcription of androgen-responsive genes in prostate tissue.",2200
Carbidopa/Entacapone/Levodopa,34,Neurological/Psych,"A Parkinson’s combination therapy. Affects dopaminergic signaling with some synergy in gene expression shifts.",900
Elbasvir/Grazoprevir,40,Infectious,"An HCV combination that inhibits viral replication. Limited host GRN changes, mostly antiviral effect.",120
Flucytosine,16,Infectious,"An antifungal that interferes with fungal DNA synthesis. Minimal direct human gene involvement.",125
Guselkumab,60,Autoimmune,"An anti–IL-23 mAb for psoriasis. Broadly modifies T-cell and inflammatory gene pathways.",2400
Liraglutide,35,Diabetes,"A GLP-1 agonist for glycemic control. Has modest metabolic gene regulation effects, especially in β-cells.",3600
Macitentan,33,Cardiovascular,"An endothelin receptor antagonist for PAH. Moderate changes in genes related to vascular remodeling.",800
Mifepristone,37,Hormonal,"A progesterone receptor antagonist used in various indications. Moderately affects hormone-responsive gene expression.",850
Mycophenolate Mofetil,45,Transplant,"Inhibits inosine monophosphate dehydrogenase in T/B-cells. Broad immune gene suppression.",1500
Pirfenidone,45,Pulmonary/Fibrosis,"An antifibrotic agent that modulates TGF-β and other fibrotic gene pathways in the lung.",1100
Proguanil,25,Infectious (Antimalarial),"Disrupts folate pathways in parasites. Minimal direct host gene involvement.",150
Quetiapine,32,Neurological/Psych,"An atypical antipsychotic with broad receptor binding. Mild to moderate gene expression changes in neurons.",2800
Ribociclib,50,Cancer,"A CDK4/6 inhibitor for HR+ breast cancer. Moderately affects cell cycle gene expression in tumor cells.",2500
Rifaximin,5,Infectious,"A non-absorbable antibiotic for GI conditions. Minimal host gene effect, mainly reduces gut bacteria.",700
Risedronate,9,Bone/Metabolic,"A bisphosphonate for osteoporosis. Minimal direct gene regulation, mostly affects osteoclast function.",480
Rocuronium,5,Anesthesia/Sedation,"A non-depolarizing neuromuscular blocker acting at nicotinic receptors. Minimal gene-level action.",190
Sacubitril/Valsartan,35,Cardiovascular,"An ARNI that inhibits neprilysin and blocks angiotensin II. Moderately affects natriuretic peptide system genes.",4600
Sucralfate,5,Gastrointestinal,"Forms a protective barrier on ulcers. Essentially no direct gene-level mechanism.",220
Tamsulosin,8,Urologic,"An α1A-adrenergic antagonist for BPH. Minimal direct gene involvement aside from smooth muscle relaxation.",550
Trabectedin,55,Cancer,"An antitumor agent from marine sources binding the DNA minor groove. Moderate gene stress responses in tumor cells.",850
Triamcinolone,22,Autoimmune,"A corticosteroid used in multiple inflammatory conditions. Moderate anti-inflammatory gene regulation changes.",900
Zafirlukast,20,Respiratory,"A leukotriene receptor antagonist reducing inflammation in asthma. Mild gene expression changes.",370
Alprostadil,10,Cardiovascular (Vasodilator),"A synthetic PGE1 used for ED or ductus arteriosus maintenance. Limited direct gene regulation in short-term use.",360
Lomustine,42,Cancer,"An alkylating agent for brain tumors. Induces DNA damage and cell cycle gene responses.",300
Ifosfamide,43,Cancer,"An alkylating agent causing DNA cross-links and cell death. Significant DNA damage gene activation in tumor cells.",550
Prochlorperazine,28,Neurological/Psych (Antiemetic),"Blocks dopamine receptors. Mild gene expression changes in chemoreceptor trigger zone over time.",530
Fosaprepitant,22,Other (Antiemetic),"A neurokinin-1 receptor antagonist prodrug. Mild gene involvement in antiemetic pathways.",210
Tigecycline,15,Infectious,"A glycylcycline antibiotic binding the 30S ribosome. Minimal human gene effects.",115
Busulfan,44,Cancer,"An alkylating agent for leukemia/BMT conditioning. Broad DNA damage gene activation.",640
Cladribine (for MS),40,Autoimmune,"An antimetabolite that selectively reduces lymphocytes. Triggers apoptosis gene networks in immune cells.",1150
Alemtuzumab + Immunosuppressants Combo,74,Autoimmune,"Combines alemtuzumab’s T/B-cell depletion with other immunosuppressants. Leads to wide immune reconstitution gene changes.",600
Basiliximab,35,Transplant,"An IL-2 receptor α–blocking antibody. Moderates T-cell activation gene networks.",420
Edaravone,10,Neurological/Psych (ALS),"A free radical scavenger shown to slow ALS progression. Minimal direct gene regulation.",120
Fostemsavir,50,Infectious (HIV),"An HIV attachment inhibitor preventing viral entry. Moderately affects viral entry gene processes, limited host effect.",910
Remdesivir,45,Infectious,"An antiviral for RNA viruses (e.g., SARS-CoV-2). Can induce moderate interferon-stimulated gene activation in host.",3300
Teicoplanin,14,Infectious,"A glycopeptide antibiotic like vancomycin. Minimal host gene changes, targets bacterial cell wall synthesis.",200
Upamostat (WX-671),55,Cancer,"A serine protease inhibitor under investigation for tumors. May alter tumor microenvironment gene pathways.",110
Asparaginase,38,Cancer,"Depletes asparagine to starve tumor cells, inducing moderate stress response genes in leukemic cells.",600
Degarelix,25,Hormonal (Cancer),"A GnRH receptor antagonist used in advanced prostate cancer. Modest hormone-regulated gene changes.",520
Elotuzumab,50,Cancer,"A monoclonal antibody targeting SLAMF7 in multiple myeloma. Affects immune cell–tumor cell interaction gene networks.",840
Ibrexafungerp,16,Infectious,"A “fungerp” antifungal disrupting fungal cell wall. Minimal host gene involvement.",160
Olokizumab,60,Autoimmune,"An anti–IL-6 immunotherapy. Broad suppression of inflammatory gene networks.",1400
Pomalidomide,76,Cancer,"An immunomodulatory agent (IMiD) affecting E3 ubiquitin ligase. Wide-ranging gene regulatory effects in tumor and immune cells.",310
Rilonacept,55,Autoimmune,"An IL-1 trap that reduces inflammatory signals. Moderately alters downstream cytokine gene expression.",600
Satralizumab,65,Autoimmune,"An IL-6 receptor inhibitor for NMOSD. Moderate immune gene involvement, limiting inflammation in CNS.",500
Viltolarsen,40,Gene Therapy (DMD),"An exon-skipping therapy for Duchenne muscular dystrophy. Modest shifts in muscular gene expression to restore dystrophin.",200
Ziconotide,20,Pain/Inflammation,"A synthetic peptide blocking N-type Ca²⁺ channels. Minimal direct gene regulatory effects, though it alters neurotransmission.",130
Multi-Target Oncolytic Virus Therapy,100,Cancer,"Engineered viruses that selectively replicate in tumors, activating broad immune gene responses and tumor lysis.",270
