Indication,ComplexityScore,Category,ProjectedMonetaryValue,TextDescription
Anorexia Nervosa,60,Neurological/Psych,0.5,Anorexia Nervosa is a disease with moderate complexity involving complex brain and nervous system pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Opioid Use Disorder,70,Neurological/Psych,5.0,Opioid Use Disorder is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Alcohol Use Disorder,76,Neurological/Psych,5.0,Alcohol Use Disorder is a common condition that is extremely complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Stimulant Use Disorder,66,Neurological/Psych,3.0,Stimulant Use Disorder is a common condition that is highly complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Nicotine Dependence,60,Neurological/Psych,5.0,Nicotine Dependence is a very common condition with moderate complexity involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Binge Eating Disorder,57,Neurological/Psych,1.0,Binge Eating Disorder is a disease with moderate complexity involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Bulimia Nervosa,47,Neurological/Psych,0.5,Bulimia Nervosa is a disease with moderate complexity involving complex brain and nervous system pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Spinocerebellar Ataxia,63,Neurological/Psych,0.5,Spinocerebellar Ataxia is a rare disorder that is highly complex involving complex brain and nervous system pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Hemophilia A,35,Gene Therapy,2.0,Hemophilia A is an inherited blood disorder with relatively straightforward pathology caused by a single genetic defect, making it relatively straightforward at the molecular level and presents a moderate market opportunity as a niche area in need of better treatments.
Hemophilia B,28,Gene Therapy,1.5,Hemophilia B is an inherited blood disorder with relatively straightforward pathology caused by a single genetic defect, making it relatively straightforward at the molecular level and presents a moderate market opportunity as a niche area in need of better treatments.
Sickle Cell Disease,50,Gene Therapy,3.0,Sickle Cell Disease is an inherited blood disorder with moderate complexity caused by a single genetic defect, making it relatively straightforward at the molecular level and has a substantial market opportunity given the number of patients affected.
Beta Thalassemia,35,Gene Therapy,2.0,Beta Thalassemia is an inherited blood disorder with relatively straightforward pathology caused by a single genetic defect, making it relatively straightforward at the molecular level and presents a moderate market opportunity as a niche area in need of better treatments.
Spinal Muscular Atrophy (SMA),40,Gene Therapy,1.0,Spinal Muscular Atrophy (SMA) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and presents a moderate market opportunity as a niche area in need of better treatments.
Duchenne Muscular Dystrophy (DMD),34,Gene Therapy,1.0,Duchenne Muscular Dystrophy (DMD) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and presents a moderate market opportunity as a niche area in need of better treatments.
Leber Congenital Amaurosis (RPE65 mutation),24,Gene Therapy,0.5,Leber Congenital Amaurosis (RPE65 mutation) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Retinitis Pigmentosa,37,Gene Therapy,0.5,Retinitis Pigmentosa is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Severe Combined Immunodeficiency (SCID),31,Gene Therapy,0.5,Severe Combined Immunodeficiency (SCID) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Friedreich's Ataxia,33,Gene Therapy,0.5,Friedreich's Ataxia is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Fabry Disease,37,Gene Therapy,0.5,Fabry Disease is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Pompe Disease,27,Gene Therapy,0.5,Pompe Disease is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Alpha-1 Antitrypsin Deficiency,35,Gene Therapy,0.5,Alpha-1 Antitrypsin Deficiency is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Hurler Syndrome (MPS I),23,Gene Therapy,0.2,Hurler Syndrome (MPS I) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Hunter Syndrome (MPS II),22,Gene Therapy,0.2,Hunter Syndrome (MPS II) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Metachromatic Leukodystrophy (MLD),37,Gene Therapy,0.1,Metachromatic Leukodystrophy (MLD) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Wiskott-Aldrich Syndrome,36,Gene Therapy,0.1,Wiskott-Aldrich Syndrome is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Phenylketonuria (PKU),33,Gene Therapy,0.5,Phenylketonuria (PKU) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Ornithine Transcarbamylase Deficiency,25,Gene Therapy,0.1,Ornithine Transcarbamylase Deficiency is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Charcot-Marie-Tooth Disease (CMT),38,Gene Therapy,0.5,Charcot-Marie-Tooth Disease (CMT) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Usher Syndrome,41,Gene Therapy,0.5,Usher Syndrome is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Gaucher Disease,28,Gene Therapy,0.5,Gaucher Disease is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Sanfilippo Syndrome (MPS III),34,Gene Therapy,0.1,Sanfilippo Syndrome (MPS III) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Crigler-Najjar Syndrome,33,Gene Therapy,0.1,Crigler-Najjar Syndrome is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Limb-Girdle Muscular Dystrophy (LGMD),50,Gene Therapy,0.5,Limb-Girdle Muscular Dystrophy (LGMD) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Facioscapulohumeral Muscular Dystrophy (FSHD),41,Gene Therapy,0.5,Facioscapulohumeral Muscular Dystrophy (FSHD) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Niemann-Pick Disease Type C,30,Gene Therapy,0.1,Niemann-Pick Disease Type C is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Fanconi Anemia,32,Gene Therapy,0.1,Fanconi Anemia is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Diamond-Blackfan Anemia (DBA),42,Gene Therapy,0.1,Diamond-Blackfan Anemia (DBA) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Maple Syrup Urine Disease (MSUD),38,Gene Therapy,0.1,Maple Syrup Urine Disease (MSUD) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Juvenile Batten Disease (CLN3),36,Gene Therapy,0.1,Juvenile Batten Disease (CLN3) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Epidermolysis Bullosa,39,Gene Therapy,0.5,Epidermolysis Bullosa is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Lysosomal Acid Lipase Deficiency (LAL-D),41,Gene Therapy,0.1,Lysosomal Acid Lipase Deficiency (LAL-D) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Classic Galactosemia,43,Gene Therapy,0.1,Classic Galactosemia is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Maroteaux-Lamy Syndrome (MPS VI),24,Gene Therapy,0.2,Maroteaux-Lamy Syndrome (MPS VI) is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Aromatic L-Amino Acid Decarboxylase (AADC) Deficiency,21,Gene Therapy,0.1,Aromatic L-Amino Acid Decarboxylase (AADC) Deficiency is a rare genetic disorder caused by a single genetic defect, making it relatively straightforward at the molecular level and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Chronic Obstructive Pulmonary Disease (COPD),49,Respiratory,10.0,Chronic Obstructive Pulmonary Disease (COPD) is a very common condition with moderate complexity affecting the lungs and often involving inflammation or fibrosis and has a very large market potential due to its high prevalence and unmet needs.
Asthma,62,Respiratory,12.0,Asthma is a very common condition that is highly complex affecting the lungs and often involving inflammation or fibrosis and has a very large market potential due to its high prevalence and unmet needs.
Idiopathic Pulmonary Fibrosis (IPF),69,Respiratory,2.0,Idiopathic Pulmonary Fibrosis (IPF) is a disease that is highly complex affecting the lungs and often involving inflammation or fibrosis and presents a moderate market opportunity as a niche area in need of better treatments.
Cystic Fibrosis,59,Respiratory,5.0,Cystic Fibrosis is a rare disorder with moderate complexity affecting the lungs and often involving inflammation or fibrosis and has a substantial market opportunity given the number of patients affected.
Acute Respiratory Distress Syndrome (ARDS),62,Respiratory,1.0,Acute Respiratory Distress Syndrome (ARDS) is a disease that is highly complex affecting the lungs and often involving inflammation or fibrosis and presents a moderate market opportunity as a niche area in need of better treatments.
Refractory Chronic Cough,58,Respiratory,0.5,Refractory Chronic Cough is a disease with moderate complexity affecting the lungs and often involving inflammation or fibrosis and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Non-Cystic Fibrosis Bronchiectasis,52,Respiratory,0.5,Non-Cystic Fibrosis Bronchiectasis is a disease with moderate complexity affecting the lungs and often involving inflammation or fibrosis and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Graft-versus-Host Disease (GVHD),80,Transplant,1.0,Graft-versus-Host Disease (GVHD) is a rare disorder that is extremely complex involving immune rejection processes and presents a moderate market opportunity as a niche area in need of better treatments.
Organ Transplant Rejection,81,Transplant,2.0,Organ Transplant Rejection is a disease that is extremely complex involving immune rejection processes and presents a moderate market opportunity as a niche area in need of better treatments.
Chronic Organ Rejection,73,Transplant,1.0,Chronic Organ Rejection is a disease that is highly complex involving immune rejection processes and presents a moderate market opportunity as a niche area in need of better treatments.
Obesity,72,Other,25.0,Obesity is a very common condition that is highly complex with diverse underlying mechanisms and has a very large market potential due to its high prevalence and unmet needs.
Non-alcoholic Steatohepatitis (NASH),59,Other,15.0,Non-alcoholic Steatohepatitis (NASH) is a very common condition with moderate complexity with diverse underlying mechanisms and has a very large market potential due to its high prevalence and unmet needs.
Chronic Kidney Disease (CKD),65,Other,10.0,Chronic Kidney Disease (CKD) is a very common condition that is highly complex with diverse underlying mechanisms and has a very large market potential due to its high prevalence and unmet needs.
Polycystic Kidney Disease (PKD),57,Other,1.0,Polycystic Kidney Disease (PKD) is a rare disorder with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Osteoporosis,58,Other,5.0,Osteoporosis is a very common condition with moderate complexity with diverse underlying mechanisms and has a substantial market opportunity given the number of patients affected.
Atopic Dermatitis (Eczema),66,Other,10.0,Atopic Dermatitis (Eczema) is a very common condition that is highly complex with diverse underlying mechanisms and has a very large market potential due to its high prevalence and unmet needs.
Irritable Bowel Syndrome (IBS),43,Other,3.0,Irritable Bowel Syndrome (IBS) is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Polycystic Ovary Syndrome (PCOS),42,Other,2.0,Polycystic Ovary Syndrome (PCOS) is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Uterine Fibroids,41,Other,2.0,Uterine Fibroids is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Age-related Macular Degeneration (AMD),79,Other,10.0,Age-related Macular Degeneration (AMD) is a very common condition that is extremely complex with diverse underlying mechanisms and has a very large market potential due to its high prevalence and unmet needs.
Diabetic Retinopathy,60,Other,5.0,Diabetic Retinopathy is a common condition that is highly complex with diverse underlying mechanisms and has a substantial market opportunity given the number of patients affected.
Glaucoma,62,Other,3.0,Glaucoma is a common condition that is highly complex with diverse underlying mechanisms and has a substantial market opportunity given the number of patients affected.
Hearing Loss,76,Other,8.0,Hearing Loss is a very common condition that is extremely complex with diverse underlying mechanisms and has a substantial market opportunity given the number of patients affected.
Primary Sclerosing Cholangitis (PSC),62,Other,0.5,Primary Sclerosing Cholangitis (PSC) is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Congenital Adrenal Hyperplasia (CAH),52,Other,0.5,Congenital Adrenal Hyperplasia (CAH) is a rare disorder with moderate complexity with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Chronic Fatigue Syndrome (ME/CFS),64,Other,0.5,Chronic Fatigue Syndrome (ME/CFS) is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Post-COVID Syndrome (Long COVID),63,Other,1.0,Post-COVID Syndrome (Long COVID) is a disease that is highly complex with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Hereditary Angioedema (HAE),67,Other,0.5,Hereditary Angioedema (HAE) is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Food Allergy (e.g. Peanut Allergy),55,Other,1.0,Food Allergy (e.g. Peanut Allergy) is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Acne,63,Other,2.0,Acne is a very common condition that is highly complex with diverse underlying mechanisms and has a substantial market opportunity given the number of patients affected.
Rosacea,60,Other,1.0,Rosacea is a common condition that is highly complex with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Hidradenitis Suppurativa,62,Other,1.0,Hidradenitis Suppurativa is a rare disorder that is highly complex with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Gastroparesis,70,Other,0.5,Gastroparesis is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Short Bowel Syndrome,66,Other,0.3,Short Bowel Syndrome is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Chronic Idiopathic Constipation,58,Other,1.0,Chronic Idiopathic Constipation is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Paroxysmal Nocturnal Hemoglobinuria (PNH),78,Other,0.5,Paroxysmal Nocturnal Hemoglobinuria (PNH) is a rare disorder that is extremely complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Fibrodysplasia Ossificans Progressiva (FOP),76,Other,0.2,Fibrodysplasia Ossificans Progressiva (FOP) is a rare disorder that is extremely complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Benign Prostatic Hyperplasia (BPH),55,Other,2.0,Benign Prostatic Hyperplasia (BPH) is a very common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Overactive Bladder,45,Other,2.0,Overactive Bladder is a very common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Focal Segmental Glomerulosclerosis (FSGS),64,Other,0.5,Focal Segmental Glomerulosclerosis (FSGS) is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Systemic Mastocytosis,72,Other,0.5,Systemic Mastocytosis is a rare disorder that is extremely complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Hypoparathyroidism,64,Other,0.5,Hypoparathyroidism is a rare disorder that is highly complex with diverse underlying mechanisms and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Dry Eye Disease,53,Other,2.0,Dry Eye Disease is a common condition with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Male Contraception,51,Other,1.0,Male Contraception is a disease with moderate complexity with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Female Infertility,67,Other,1.0,Female Infertility is a disease that is highly complex with diverse underlying mechanisms and presents a moderate market opportunity as a niche area in need of better treatments.
Von Willebrand Disease,38,Other,0.5,Von Willebrand Disease is a rare disorder with relatively straightforward underlying biology and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
